#,주카테고리,보조카테고리,텍스트,출처,페이지,review
1,산업_트렌드,리스크_요인,하반기는 IT 거시 환경과 증설 물량이 관건일 것이다.,1551144383455.pdf,14,
2,산업_트렌드,리스크_요인,"이지만 코로나19가 급격히 확산되면서 레저, 공연 등의 수요 급감으로 서치플랫폼",1640049461948.pdf,1,
3,산업_트렌드,,CARmera: 전장카메라의 시대가 온다,1652054188653.pdf,9,
4,산업_트렌드,,CARmera: 전장카메라의 시대가 온다,1652054188653.pdf,25,
5,산업_트렌드,실적_전망,수급난해소가아닌개선이진행 증가가이던스유지,1652054188653.pdf,29,
6,산업_트렌드,성장_동력,등 IT산업 내 로봇의 확장성 급증하고 있어 관련 기술 및 레퍼런스 보유한 동사의 수혜를 전,1652054188653.pdf,48,
7,성장_동력,기업_분석,"MLCC 공장을 신축하겠다고 발표했고, 생산설비 반입 시 투자 금액은 확대될 예정이다.",1551144383455.pdf,17,
8,성장_동력,기업_분석,"의 Preferred Partner로 승격 되며 향후 직접 판매 비중을 늘려갈 것으로 기대되는 바,",1625096195494.pdf,3,
9,성장_동력,기업_분석,■ 전략적 투자로 자회사의 시너지 효과 및 수익 창출,1635993385864.pdf,3,
10,성장_동력,실적_전망,글로벌 금융사업 확대로 성장성 제고 기대,20250429_company_567127000.pdf,1,
11,성장_동력,기업_분석,에게 구글 클라우드와의 파트너십을 활용한 기술 컨설팅과 AI 서비스 구현(Vertex AI 활용 등)을,20260414_industry_332716000.pdf,40,
12,성장_동력,기업_분석,"OpenAI, SAP, ServiceNow, Workday 등과의 파트너십을 통해 멀티 및 하이브리드 클라우드 기",20260414_industry_332716000.pdf,55,
13,실적_전망,,"지난해 상반기 2%에서 하반기는 6% 수준으로 상승한 데 이어, 올해는 10%를 상회할 전망이다.",1551144383455.pdf,17,
14,실적_전망,산업_트렌드,"능력 전환, IT Set 수요 약세 등으로 출하량은 감소할 것이다.",1551144383455.pdf,18,
15,실적_전망,성장_동력,"상대주가 -2.0 0.0 0.0 권의 연간 이익 예상을 소폭 상회할 전망이며, 2) Fee 및 플랫폼 수익의 견조한 수익 증가",1635905495279.pdf,1,
16,실적_전망,,"23 년 연간 영업이익은 1,050 억원(-11%)로 전망된다.",1685492232482.pdf,1,
17,실적_전망,산업_분석,에프터 마켓향 업체의 상반기 실적은 견조했다.,1692145861420.pdf,8,
18,실적_전망,,"액 성장에 따라 1,415억원(+15.8%) 기록 전망.",20260414_industry_332716000.pdf,71,
19,산업_분석,산업_트렌드,"음파센서, 8개의 카메라, 6개의 레이더, 4개의 LiDAR가 필요하며, 4,000개 이상의 MLCC가 요구된다.",1551144383455.pdf,16,
20,산업_분석,,"국내에서도 통신 3사에 할당한 5G 주파수는 3.5GHz대역 280MHz폭과 28GHz대역 2,400MHz폭이다.",1551144383455.pdf,19,
21,산업_분석,성장_동력,진입장벽이 높기 때문에 기존에 레퍼런스를 구축해,1652054188653.pdf,3,
22,산업_분석,기업_분석,업체별 점유율은 2021년 기준 삼성전자가 18.9%(YoY-1.3%p)로 점유율 감소했으나 1위를,1652054188653.pdf,12,
23,산업_분석,,ADAS는 카메라·레이더·라이다 크게 3가지 센서를 통해 구현된다.,1652054188653.pdf,19,
24,산업_분석,기업_분석,카메라 기반 개발 진영의 대표적 사례인 테슬라는 2021년 9월 FSD(Full Self Driving) V10,1652054188653.pdf,26,
25,산업_분석,리스크_요인,씬 높아야 하며 완성차업체 납품까지 최소 2년 이상의 검증 기간이 요구됨.,1652054188653.pdf,30,
26,산업_분석,실적_전망,"소재 업체 중 프리커서, 특히 High-K 쪽을 담당하는 업체의 실적은 상대적으로 견조",1692145861420.pdf,11,
27,산업_분석,성장_동력,특히 일라이 릴리는 비만대사질환 치료제 시장에서 압도적인 위상을 유지할 전망,20250210_company_862768000.pdf,1,
28,산업_분석,기업_분석,AI 가속기향 CCL에서 레진과 경화제의 중요도,20250304_company_458846000.pdf,1,
29,기업_분석,성장_동력,군수 고정익 전투기 FA-50 경공격기 (생산/수출) FA-50 경공격기 (수출),1536197128807.pdf,5,
30,기업_분석,실적_전망,하지만 영업경비율(CIR)은 42.7%로 지속적인 하향 추세로 우,1635905495279.pdf,1,
31,기업_분석,성장_동력,일본에서 마이스마트스토어 서비스로 베타 서비스를 진행 중.,1640049461948.pdf,1,
32,기업_분석,,동사는 2022 년 11 월에 상장한 반도체 및 디스플레이 관련 소재 사업을 영위하는 업체,1692145861420.pdf,21,
33,기업_분석,성장_동력,큰증권 테스트베드 플랫폼 구축 사업 수주에 대한 레퍼런스가 있다.,20260414_industry_332716000.pdf,44,
34,리스크_요인,산업_트렌드,주고객 스마트폰 출하량이 감소하는 상황에,1551144383455.pdf,30,
35,리스크_요인,기업_분석,서 SLP로의 진화 강도가 미흡하다.,1551144383455.pdf,30,
36,리스크_요인,산업_트렌드,"성 주가만 보면 지난해 MLCC의 최대 호황 실적이 제거된 것이며, MLCC 업황의 하락 사이클이 지속될",1551144383455.pdf,32,
37,리스크_요인,기업_분석,④ CE: 가전 사업부의 원가 및 물류비 상승 부담 지속.,1634009835445.pdf,4,
38,리스크_요인,산업_분석,"취약한내구성,고속주행시위험성증가 라이다대비떨어지는정확성",1652054188653.pdf,6,
39,리스크_요인,산업_트렌드,미중분쟁 반사수혜 기대: MLB 등 메인보드 기판의 80%는 중국산,1685492232482.pdf,1,
40,리스크_요인,기업_분석,2023.11 한국: 검찰이 대기업 승계 확보를 위한 2015년 합병과 관련된 회계 부정 및 주가 조작 혐의로 회장을 기소,20240806_company_21838000.pdf,10,
41,리스크_요인,기업_분석,"2023.09 한국: 노동조합, 임금 분쟁 문제로 파업 위협; 협상은 아직 미해결 상태",20240806_company_21838000.pdf,10,
42,리스크_요인,산업_트렌드,- 최근 AI Data Center 투자에 대한 속도조절 우려와 함께 NVIDIA에 대한 우려도 커지고 있음.,20240902_company_404034000.pdf,1,
43,리스크_요인,산업_트렌드,[스마트 엔지니어링] 시장 환경 변화에 따른 일부 고객사 투자 지연 및 일부 장기 프로젝트,20250429_company_567127000.pdf,1,
44,밸류에이션,,"PER은 11배로 역사적 Band 하단에 위치해 있고, PBR은 1.5배로 실적 상승기 5년 평균 2.0배보다",1551144383455.pdf,3,
45,밸류에이션,실적_전망,DPS 추정치를 감안 시 기계적 매수세가 유입될 가능성이 높은,1640224903082.pdf,1,
46,밸류에이션,,동사 목표주가를 30만원으로 상향하고 인터넷 업종 Top pick으로 지속 제시한다.,1675811466720.pdf,1,
47,밸류에이션,,"투자의견 Buy 유지, 목표주가 320,000원으로 상향, 인터넷 산업 내 Top Pick 유지, 비중 확",20250623_company_329511000.pdf,1,
48,밸류에이션,,"목표주가 17,000 17,000 20,000 20,000 20,000 20,000",20260220_company_740225000.pdf,8,
49,밸류에이션,,"target PER 18.9 IBM, TCS 26F PER 평균",20260414_industry_332716000.pdf,57,
50,밸류에이션,,"투자의견 매수 및 목표주가 76,000원 유지.",20260414_industry_332716000.pdf,68,
